Ticker,Date,Net Flows*
BFIT,2019-03-12,-0.0
BCI,2019-03-12,0.0
BBUS,2019-03-12,0.0
BBJP,2019-03-12,-35.86
BBEU,2019-03-12,0.0
BBC,2019-03-12,0.0
BBAX,2019-03-12,-25.21
BAR,2019-03-12,0.0
BAL,2019-03-12,-0.05
BBSA,2019-03-12,0.0
AWTM,2019-03-12,0.0
ATMP,2019-03-12,0.16
ASHX,2019-03-12,0.0
ASHS,2019-03-12,0.0
ASHR,2019-03-12,0.0
BCD,2019-03-12,0.0
ASET,2019-03-12,0.0
ARKW,2019-03-12,10.26
ARKQ,2019-03-12,0.0
AUSF,2019-03-12,1.19
ASEA,2019-03-12,0.0
AGT,2019-03-12,-1.19
ACSG,2019-03-12,0.0
AGGP,2019-03-12,0.0
BDRY,2019-03-12,0.24
BCM,2019-03-12,0.0
BBCA,2019-03-12,0.0
AFTY,2019-03-12,0.0
ALFA,2019-03-12,0.0
AFK,2019-03-12,0.0
ADME,2019-03-12,0.0
BBRE,2019-03-12,0.0
ACWX,2019-03-12,0.0
AADR,2019-03-12,0.0
BAB,2019-03-12,0.0
AGGY,2019-03-12,0.0
AFIF,2019-03-12,0.0
AIIQ,2019-03-12,0.0
ARCM,2019-03-12,0.0
AMUB,2019-03-12,0.0
BBP,2019-03-12,0.0
AGQ,2019-03-12,0.0
AGZ,2019-03-12,-22.45
ACSI,2019-03-12,0.0
ALTY,2019-03-12,-0.0
AMLP,2019-03-12,0.0
AIRR,2019-03-12,0.0
ACWV,2019-03-12,0.0
AAAU,2019-03-12,5.81
ACWF,2019-03-12,0.0
AGZD,2019-03-12,0.0
AIEQ,2019-03-12,-1.28
ACWI,2019-03-12,0.0
AIA,2019-03-12,0.0
ARKF,2019-03-12,0.0
BDCS,2019-03-12,0.0
BBH,2019-03-12,0.0
BATT,2019-03-12,0.0
ARKK,2019-03-12,0.0
AAXJ,2019-03-12,0.0
ALTS,2019-03-12,0.0
AMCA,2019-03-12,0.0
AMJ,2019-03-12,4.75
ACES,2019-03-12,0.0
ACT,2019-03-12,0.0
AMU,2019-03-12,0.0
AMZA,2019-03-12,0.0
ANGL,2019-03-12,0.0
ADRE,2019-03-12,0.0
AOA,2019-03-12,0.0
AOK,2019-03-12,0.0
BDCZ,2019-03-12,0.0
AGG,2019-03-12,171.63
AOM,2019-03-12,0.0
ARKG,2019-03-12,0.0
AIQ,2019-03-12,-0.0
AOR,2019-03-12,0.0
ARGT,2019-03-12,-2.79
CBON,2019-03-12,0.0
CATH,2019-03-12,-0.0
CARZ,2019-03-12,0.0
CAPE,2019-03-12,0.05
BZQ,2019-03-12,0.0
BYLD,2019-03-12,0.0
BWZ,2019-03-12,0.0
BTAL,2019-03-12,0.0
BSV,2019-03-12,0.0
BSJQ,2019-03-12,0.0
CALF,2019-03-12,0.0
BSJP,2019-03-12,0.0
BSJO,2019-03-12,0.0
BSJN,2019-03-12,0.0
BNDW,2019-03-12,1.9
BVAL,2019-03-12,0.0
BNDC,2019-03-12,0.0
BND,2019-03-12,15.98
BWX,2019-03-12,0.0
BOSS,2019-03-12,-0.0
BSJK,2019-03-12,2.4
BLV,2019-03-12,8.84
BMLP,2019-03-12,0.0
BKLN,2019-03-12,0.0
BNDX,2019-03-12,0.25
BIBL,2019-03-12,0.0
BSJM,2019-03-12,0.0
BLOK,2019-03-12,0.0
BFOR,2019-03-12,0.0
BSCL,2019-03-12,3.14
BSJL,2019-03-12,0.0
BSCK,2019-03-12,3.17
BOCT,2019-03-12,0.0
BSCM,2019-03-12,6.27
BSCN,2019-03-12,3.08
BLCN,2019-03-12,0.0
BLHY,2019-03-12,0.0
BIL,2019-03-12,27.44
BJUL,2019-03-12,0.0
CACG,2019-03-12,-0.0
BLES,2019-03-12,0.0
BIV,2019-03-12,0.0
BIS,2019-03-12,0.0
BICK,2019-03-12,0.0
BSDE,2019-03-12,0.0
BTEC,2019-03-12,0.0
BOIL,2019-03-12,0.0
BSCP,2019-03-12,0.0
BIZD,2019-03-12,0.0
BSBE,2019-03-12,0.0
BSCS,2019-03-12,0.0
BOND,2019-03-12,10.41
CANE,2019-03-12,0.0
BUY,2019-03-12,0.0
BKF,2019-03-12,0.0
BSCR,2019-03-12,0.0
BNO,2019-03-12,0.0
BOTZ,2019-03-12,-0.11
BGRN,2019-03-12,0.0
BOUT,2019-03-12,0.99
BIB,2019-03-12,0.0
BJK,2019-03-12,0.0
BRF,2019-03-12,0.0
BRZU,2019-03-12,-6.76
BSAE,2019-03-12,0.0
BSCQ,2019-03-12,0.0
BSCO,2019-03-12,0.0
DBP,2019-03-12,0.0
DBO,2019-03-12,0.0
DBLV,2019-03-12,0.0
DBJP,2019-03-12,0.0
DBGR,2019-03-12,0.0
DBEM,2019-03-12,0.0
DBEF,2019-03-12,0.0
DBE,2019-03-12,0.0
DBAW,2019-03-12,0.0
DAX,2019-03-12,0.0
DALT,2019-03-12,-1.49
DALI,2019-03-12,0.0
CWI,2019-03-12,0.0
CWEB,2019-03-12,0.0
CVY,2019-03-12,0.0
CUT,2019-03-12,0.0
CURE,2019-03-12,0.0
CSM,2019-03-12,0.0
CSF,2019-03-12,0.0
CSD,2019-03-12,0.0
CROP,2019-03-12,0.0
CROC,2019-03-12,0.0
CQQQ,2019-03-12,0.0
CSB,2019-03-12,0.0
CPER,2019-03-12,0.91
CXSE,2019-03-12,0.0
CPI,2019-03-12,0.0
CORP,2019-03-12,0.0
CORN,2019-03-12,1.15
DBS,2019-03-12,0.0
DBEU,2019-03-12,0.0
CZA,2019-03-12,0.0
COPX,2019-03-12,-0.03
DBB,2019-03-12,-3.28
CHIK,2019-03-12,-0.0
DAUD,2019-03-12,0.0
CHII,2019-03-12,0.0
CIBR,2019-03-12,0.0
CSA,2019-03-12,0.0
CHIE,2019-03-12,-0.0
DBA,2019-03-12,0.0
COM,2019-03-12,0.0
CHIM,2019-03-12,-0.0
CFO,2019-03-12,0.0
CNXT,2019-03-12,0.0
CHIC,2019-03-12,-0.0
CGW,2019-03-12,0.0
CYB,2019-03-12,-2.6
CNRG,2019-03-12,0.0
CHGX,2019-03-12,0.0
CHAD,2019-03-12,0.0
CHIQ,2019-03-12,1.59
CFA,2019-03-12,0.0
CHAU,2019-03-12,0.0
CLIX,2019-03-12,0.0
DBC,2019-03-12,0.0
CWB,2019-03-12,20.76
CEY,2019-03-12,0.0
