Ticker,Date,No.,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
A,2020-03-19,1,"Agilent Technologies, Inc.",Healthcare,Medical Laboratories & Research,USA,23.15B,28.42,65.76,-4.52%,3323639
AA,2020-03-19,2,Alcoa Corporation,Basic Materials,Aluminum,USA,1.31B,-,5.83,1.39%,6167284
AAAU,2020-03-19,3,Perth Mint Physical Gold ETF,Financial,Exchange Traded Fund,USA,-,-,14.65,-1.89%,187203
AACG,2020-03-19,4,ATA Creativity Global,Services,Education & Training Services,China,22.05M,-,0.74,0.95%,7828
AADR,2020-03-19,5,AdvisorShares Dorsey Wright ADR ETF,Financial,Exchange Traded Fund,USA,-,-,35.67,3.66%,16252
AAL,2020-03-19,6,American Airlines Group Inc.,Services,Major Airlines,USA,6.00B,3.06,10.29,-11.67%,71206318
AAMC,2020-03-19,7,Altisource Asset Management Corporation,Financial,Asset Management,USA,20.26M,-,11.12,1.55%,3744
AAME,2020-03-19,8,Atlantic American Corporation,Financial,Life Insurance,USA,43.24M,-,2.4,16.50%,347
AAN,2020-03-19,9,"Aaron's, Inc.",Services,Rental & Leasing Services,USA,1.33B,44.29,18.24,-0.76%,1899050
AAOI,2020-03-19,10,"Applied Optoelectronics, Inc.",Technology,Semiconductor - Integrated Circuits,USA,137.89M,-,6.55,19.09%,1024007
AAON,2020-03-19,11,"AAON, Inc.",Industrial Goods,General Building Materials,USA,2.64B,46.43,49.17,3.82%,570957
AAP,2020-03-19,12,"Advance Auto Parts, Inc.",Services,Auto Parts Stores,USA,7.07B,12.98,85.97,-3.12%,1166579
AAPL,2020-03-19,13,Apple Inc.,Consumer Goods,Electronic Equipment,USA,1197.57B,19.48,244.78,-0.77%,67237349
AAT,2020-03-19,14,"American Assets Trust, Inc.",Financial,REIT - Retail,USA,1.53B,25.76,22.53,3.49%,656508
AAU,2020-03-19,15,Almaden Minerals Ltd.,Basic Materials,Gold,Canada,32.65M,-,0.27,-5.03%,285998
AAWW,2020-03-19,16,"Atlas Air Worldwide Holdings, Inc.",Services,"Air Services, Other",USA,557.51M,-,21.89,11.63%,1168433
AAXJ,2020-03-19,17,iShares MSCI All Country Asia ex Japan ETF,Financial,Exchange Traded Fund,USA,-,-,54.01,-1.08%,2132234
AAXN,2020-03-19,18,"Axon Enterprise, Inc.",Industrial Goods,Aerospace/Defense Products & Services,USA,3.34B,4046.92,62.01,17.87%,1218923
AB,2020-03-19,19,AllianceBernstein Holding L.P.,Financial,Asset Management,USA,1.70B,5.89,19.3,31.65%,2224971
ABB,2020-03-19,20,ABB Ltd,Industrial Goods,Diversified Machinery,Switzerland,38.35B,33.30,16.01,2.50%,3081273
ABBV,2020-03-19,21,AbbVie Inc.,Healthcare,Drug Manufacturers - Major,USA,113.62B,13.45,71.06,0.04%,19630182
ABC,2020-03-19,22,AmerisourceBergen Corporation,Services,Drugs Wholesale,USA,18.47B,27.57,86.0,1.21%,2166279
ABCB,2020-03-19,23,Ameris Bancorp,Financial,Regional - Mid-Atlantic Banks,USA,1.51B,7.14,22.6,11.11%,787205
ABEO,2020-03-19,24,Abeona Therapeutics Inc.,Healthcare,Biotechnology,USA,179.54M,-,1.78,4.71%,1162041
ABEQ,2020-03-19,25,Absolute Core Strategy ETF,Financial,Exchange Traded Fund,USA,-,-,19.47,2.20%,2975
ABEV,2020-03-19,26,Ambev S.A.,Consumer Goods,Beverages - Brewers,Brazil,33.35B,12.05,2.34,10.38%,21709065
ABG,2020-03-19,27,"Asbury Automotive Group, Inc.",Services,Auto Dealerships,USA,1.06B,4.66,48.98,9.77%,442459
ABIO,2020-03-19,28,"ARCA biopharma, Inc.",Healthcare,Biotechnology,USA,3.92M,-,2.58,11.31%,11386
ABM,2020-03-19,29,ABM Industries Incorporated,Services,Business Services,USA,2.00B,11.59,24.06,-2.67%,630189
ABMD,2020-03-19,30,"Abiomed, Inc.",Healthcare,Medical Appliances & Equipment,USA,7.29B,27.49,140.51,-4.12%,939529
ABR,2020-03-19,31,"Arbor Realty Trust, Inc.",Financial,Mortgage Investment,USA,613.96M,3.60,4.48,-1.75%,5721605
ABT,2020-03-19,32,Abbott Laboratories,Healthcare,Medical Appliances & Equipment,USA,146.03B,39.22,74.5,-6.01%,14025421
