Ticker,Date,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume,Fwd P/E,PEG,P/S,P/B,P/C,P/FCF,EPS this Y,EPS next Y,EPS past 5Y,EPS next 5Y,Sales past 5Y,Outstanding,Float,Insider Own,Insider Trans,Inst Own,Inst Trans,Float Short,Short Ratio,Avg Volume,Perf Week,Perf Month,Perf Quart,Perf Half,Perf Year,Perf YTD,Volatility W,Volatility M,Recom,Rel Volume,Dividend,ROA,ROE,ROI,Curr R,Quick R,LTDebt/Eq,Debt/Eq,Gross M,Oper M,Profit M,Earnings,Beta,ATR,SMA20,SMA50,SMA200,52W High,52W Low,RSI,from Open,Gap
A,2020-06-16,"Agilent Technologies, Inc.",Healthcare,Diagnostics & Research,USA,26.66B,40.13,87.44,0.55%,1026173,24.60,4.29,5.09,5.67,20.14,58.85,26.10%,14.68%,37.50%,9.35%,5.00%,309.00M,307.66M,0.50%,-6.68%,89.80%,1.16%,1.67%,2.21,2.33M,-2.60%,7.17%,24.13%,4.46%,24.40%,2.50%,3.37%,2.44%,2.20,0.44,0.82%,7.40%,14.30%,15.20%,1.60,1.20,0.38,0.52,53.70%,15.10%,13.00%,May 21/a,1.13,2.43,0.48%,7.83%,10.17%,-6.02%,43.04%,54.79,-1.62%,2.21%
AA,2020-06-16,Alcoa Corporation,Basic Materials,Aluminum,USA,1.94B,-,11.55,1.23%,9363487,-,-,0.19,0.50,2.34,71.88,-559.70%,84.30%,-34.10%,-,-4.50%,186.00M,185.07M,0.60%,0.04%,78.50%,-12.55%,6.38%,1.19,9.89M,-8.26%,73.42%,65.00%,-44.18%,-46.65%,-46.30%,7.39%,7.71%,2.60,0.95,-,-5.80%,-19.00%,-9.60%,1.50,0.80,0.42,0.42,17.00%,-2.00%,-8.40%,Apr 22/a,2.21,0.9,14.03%,35.96%,-24.68%,-53.11%,123.84%,60.81,-3.91%,5.35%
AAL,2020-06-16,American Airlines Group Inc.,Industrials,Airlines,USA,6.19B,-,17.03,1.98%,125356928,-,-,0.14,-,1.73,-,25.20%,90.50%,-0.70%,-3.32%,1.40%,425.71M,416.46M,1.30%,1.16%,71.30%,-18.97%,30.49%,1.39,91.11M,-8.19%,88.38%,9.31%,-38.03%,-47.70%,-40.62%,12.25%,10.89%,3.40,1.38,2.35%,-1.20%,113.10%,10.30%,0.40,0.30,-,-,60.30%,0.30%,-1.70%,Apr 30/b,1.62,1.89,27.68%,46.08%,-23.54%,-51.33%,106.42%,60.84,-7.29%,10.00%
AAN,2020-06-16,"Aaron's, Inc.",Industrials,Rental & Leasing Services,USA,2.96B,-,45.5,3.55%,1989669,11.50,-,0.73,2.10,5.38,10.67,-83.50%,24.63%,-15.70%,10.10%,7.90%,66.82M,66.71M,1.10%,0.00%,-,-1.91%,6.07%,3.52,1.15M,-6.13%,45.37%,108.14%,-22.61%,-25.29%,-20.33%,8.03%,6.16%,1.90,1.73,0.35%,-9.50%,-17.70%,2.10%,-,-,0.45,0.45,96.80%,-9.30%,-7.50%,May 07/b,1.57,3.13,14.83%,40.76%,-7.97%,-42.15%,249.87%,64.63,-1.73%,5.37%
AAOI,2020-06-16,"Applied Optoelectronics, Inc.",Technology,Semiconductors,USA,183.52M,-,9.19,1.77%,464281,-,-,1.03,0.72,-,-,-12.80%,84.50%,-68.80%,13.00%,7.90%,20.21M,19.12M,6.60%,-2.25%,60.30%,-0.94%,29.02%,7.59,731.36K,-5.21%,12.76%,54.19%,-15.96%,3.61%,-22.64%,6.59%,5.00%,3.20,0.63,-,-15.20%,-25.30%,-15.60%,1.90,1.00,0.36,0.54,22.50%,-30.60%,-40.50%,May 07/a,1.96,0.58,1.13%,0.92%,-9.99%,-42.49%,83.80%,51.03,-1.18%,2.99%
AAON,2020-06-16,"AAON, Inc.",Industrials,Building Products & Equipment,USA,2.79B,43.91,53.79,2.05%,139258,38.70,3.66,5.67,9.15,-,45.08,27.00%,-4.20%,5.10%,12.00%,5.70%,52.07M,40.58M,19.60%,-1.85%,71.20%,-3.62%,8.01%,11.36,286.32K,-6.11%,12.65%,12.32%,7.62%,11.99%,8.86%,4.97%,3.86%,3.30,0.49,0.71%,17.70%,22.70%,18.10%,3.10,1.90,0.02,0.02,27.70%,16.30%,13.10%,May 07/b,0.75,2.35,-0.33%,7.84%,7.56%,-10.35%,32.88%,53.2,-1.12%,3.21%
AAP,2020-06-16,"Advance Auto Parts, Inc.",Consumer Cyclical,Specialty Retail,USA,9.67B,26.00,142.66,3.49%,1018895,17.01,3.51,1.02,2.79,7.56,27.52,21.10%,31.00%,0.40%,7.40%,-0.30%,69.18M,68.86M,0.40%,2.45%,-,-1.38%,2.84%,1.79,1.09M,-1.07%,13.17%,42.30%,-8.09%,-5.98%,-10.93%,4.80%,3.48%,2.30,0.93,0.70%,3.40%,10.90%,12.30%,1.40,0.40,0.35,0.49,43.70%,5.80%,4.10%,May 19/b,1.32,5.52,2.87%,14.39%,1.65%,-16.78%,100.00%,59.85,-0.27%,3.76%
AAPL,2020-06-16,Apple Inc.,Technology,Consumer Electronics,USA,1512.97B,27.60,352.08,2.65%,41228196,23.69,2.41,5.65,19.57,16.09,28.76,-2.60%,20.04%,13.00%,11.48%,7.30%,4.36B,4.33B,0.10%,-2.21%,62.00%,-0.64%,0.79%,0.8,42.54M,2.35%,14.42%,39.24%,27.96%,81.59%,19.90%,3.52%,2.28%,2.00,0.97,0.93%,17.30%,64.50%,26.90%,1.50,1.50,1.14,1.40,38.10%,24.50%,21.40%,Apr 30/a,1.16,8.93,7.90%,16.54%,27.85%,-0.76%,83.21%,70.2,0.22%,2.43%
AAT,2020-06-16,"American Assets Trust, Inc.",Real Estate,REIT - Diversified,USA,1.77B,40.63,31.2,3.62%,377766,44.57,13.54,4.67,1.42,17.80,-,101.50%,20.69%,18.40%,3.00%,7.10%,59.73M,59.39M,0.50%,41.46%,99.40%,-0.97%,0.75%,0.98,457.65K,-6.28%,27.97%,28.03%,-30.20%,-34.12%,-32.03%,5.85%,5.11%,2.70,0.83,2.56%,1.50%,3.30%,4.30%,-,-,1.03,1.03,64.10%,28.00%,10.50%,Apr 28/a,0.97,1.84,9.34%,14.38%,-21.41%,-36.66%,54.84%,57.56,-1.89%,5.61%
AAU,2020-06-16,Almaden Minerals Ltd.,Basic Materials,Gold,Canada,53.52M,-,0.49,-1.83%,323646,-,-,-,1.07,29.73,-,-3.20%,-,31.70%,-,-,112.03M,111.70M,7.20%,0.00%,5.90%,53.64%,1.05%,2.87,409.01K,-5.59%,12.00%,78.38%,-5.22%,-8.22%,-16.81%,9.66%,8.16%,-,0.79,-,-4.50%,-4.80%,-,3.90,3.90,0.04,0.04,-,-,-,Apr 09/a,1.06,0.04,2.52%,15.57%,-1.47%,-40.24%,131.02%,53.48,-5.77%,4.19%
